,상가업소번호,brand,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,지번본번지,지번부번지,지번주소,도로명코드,도로명,도로명주소,층정보,경도,위도,place_id,월간 검색량,블로그누적발행
9752,MA0101202302A0052359,역전할머니,역전할머니맥주이수점,,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11590,동작구,11590630,사당2동,1159010700,사당동,1159010700101380003,138.0,3.0,서울특별시 동작구 사당동 138-3,115904157122,서울특별시 동작구 동작대로27다길,서울특별시 동작구 동작대로27다길 26,1,126.980246846339,37.486319947254,1939413310,20.0,168.0
9753,MA0101202301A0018843,역전할머니,역전할머니맥주,,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11305,강북구,11305635,수유3동,1130510300,수유동,1130510300101740035,174.0,35.0,서울특별시 강북구 수유동 174-35,113054124574,서울특별시 강북구 한천로140길,서울특별시 강북구 한천로140길 18,1,127.027509852619,37.64067709652,1264036723,20.0,130.0
9755,MA010120220803616359,투다리,투다리,,I2,음식,I211,주점,I21104,요리 주점,I56219,기타 주점업,11,서울특별시,11260,중랑구,11260630,묵2동,1126010400,묵동,1126010400102330012,233.0,12.0,서울특별시 중랑구 묵동 233-12,112603106010,서울특별시 중랑구 중랑역로,서울특별시 중랑구 중랑역로 243,1,127.075365749793,37.6151853478775,36547208,20.0,65.0
9756,MA010120220813272815,역전할머니,역전할머니맥주건대역점,,I2,음식,I211,주점,I21103,생맥주 전문,I56113,한식 육류 요리 전문점,11,서울특별시,11215,광진구,11215710,화양동,1121510700,화양동,1121510700100090006,9.0,6.0,서울특별시 광진구 화양동 9-6,112154112318,서울특별시 광진구 아차산로31길,서울특별시 광진구 아차산로31길 29,1,127.069691282806,37.5423614982359,1864336491,20.0,158.0
9757,MA0101202210A0087660,역전할머니,역전할머니맥주,답십리점,I2,음식,I211,주점,I21103,생맥주 전문,I56219,기타 주점업,11,서울특별시,11200,성동구,11200790,용답동,1120012200,용답동,1120012200100490005,49.0,5.0,서울특별시 성동구 용답동 49-5,112004109463,서울특별시 성동구 용답19길,서울특별시 성동구 용답19길 15-1,1,127.052472895459,37.5636159357201,1665937291,20.0,32.0
9760,MA0101202302A0004816,역전할머니,역전할머니맥주서울약수점,,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11140,중구,11140625,다산동,1114016200,신당동,1114016200103690009,369.0,9.0,서울특별시 중구 신당동 369-9,111403101014,서울특별시 중구 다산로,서울특별시 중구 다산로 117,2,127.010242074121,37.5546081713734,1865144042,20.0,530.0
9761,MA010120220814250984,역전할머니,역전할머니맥주,,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11215,광진구,11215830,자양2동,1121510500,자양동,1121510500106080018,608.0,18.0,서울특별시 광진구 자양동 608-18,112153103010,서울특별시 광진구 뚝섬로,서울특별시 광진구 뚝섬로 598,1,127.076120089418,37.5328880174102,1528559468,20.0,241.0
9764,MA010120220810120763,역전할머니,역전할머니맥주,신도림점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11530,구로구,11530510,신도림동,1153010100,신도림동,1153010100103380000,338.0,,서울특별시 구로구 신도림동 338,115304148120,서울특별시 구로구 경인로67길,서울특별시 구로구 경인로67길 23,1,126.889450716799,37.510515948407,1697616575,20.0,51.0
9765,MA010120220800260292,투다리,투다리,,I2,음식,I211,주점,I21104,요리 주점,I56219,기타 주점업,11,서울특별시,11260,중랑구,11260520,면목2동,1126010100,면목동,1126010100101830100,183.0,100.0,서울특별시 중랑구 면목동 183-100,112604118070,서울특별시 중랑구 동일로109길,서울특별시 중랑구 동일로109길 21,1,127.078840967707,37.5918474344515,1965537486,40.0,179.0
9766,MA010120220805990689,투다리,투다리화곡,본점,I2,음식,I211,주점,I21104,요리 주점,I56219,기타 주점업,11,서울특별시,11500,강서구,11500590,화곡본동,1150010300,화곡동,1150010300101050006,105.0,6.0,서울특별시 강서구 화곡동 105-6,115003115003,서울특별시 강서구 까치산로,서울특별시 강서구 까치산로 30,1,126.843780528015,37.5422156600301,1419163382,20.0,149.0
9767,MA010120220805157335,투다리,투다리도,봉산점,I2,음식,I211,주점,I21104,요리 주점,I56219,기타 주점업,11,서울특별시,11320,도봉구,11320521,도봉1동,1132010800,도봉동,1132010800105650001,565.0,1.0,서울특별시 도봉구 도봉동 565-1,113204127186,서울특별시 도봉구 도봉로181길,서울특별시 도봉구 도봉로181길 13,2,127.045177225451,37.6838737037852,37882755,20.0,24.0
9768,MA010120220810402132,역전할머니,역전할머니맥주서울한남점,,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11170,용산구,11170685,한남동,1117013100,한남동,1117013100106320003,632.0,3.0,서울특별시 용산구 한남동 632-3,111704106031,서울특별시 용산구 대사관로34길,서울특별시 용산구 대사관로34길 10,1,127.005985062408,37.5328313074808,1638779414,20.0,969.0
9769,MA010120220813799332,투다리,투다리,,I2,음식,I211,주점,I21104,요리 주점,I56219,기타 주점업,11,서울특별시,11170,용산구,11170580,효창동,1117011900,효창동,1117011900100050674,5.0,674.0,서울특별시 용산구 효창동 5-674,111703005022,서울특별시 용산구 효창원로,서울특별시 용산구 효창원로 144,1,126.962173535967,37.5408262851674,11763680,20.0,38.0
9770,MA010120220803908694,투다리,투다리,,I2,음식,I211,주점,I21104,요리 주점,I56219,기타 주점업,11,서울특별시,11290,성북구,11290810,석관동,1129013900,석관동,1129013900101280004,128.0,4.0,서울특별시 성북구 석관동 128-4,112904121716,서울특별시 성북구 한천로78길,서울특별시 성북구 한천로78길 36,1,127.064319848611,37.6120744648276,11762815,20.0,132.0
9771,MA010120220800176016,투다리,투다리,,I2,음식,I211,주점,I21104,요리 주점,I56219,기타 주점업,11,서울특별시,11440,마포구,11440680,합정동,1144012200,합정동,1144012200103830003,383.0,3.0,서울특별시 마포구 합정동 383-3,114404139491,서울특별시 마포구 월드컵로1길,서울특별시 마포구 월드컵로1길 5,,126.912682432102,37.5494586610127,11763604,20.0,125.0
9774,MA010120220814080522,투다리,투다리,,I2,음식,I211,주점,I21104,요리 주점,I56219,기타 주점업,11,서울특별시,11740,강동구,11740650,성내2동,1174010800,성내동,1174010800100410006,41.0,6.0,서울특별시 강동구 성내동 41-6,117404172415,서울특별시 강동구 천호옛길,서울특별시 강동구 천호옛길 83,1,127.125262076809,37.5362518993183,38623449,20.0,141.0
9775,MA010120220803763602,투다리,투다리,,I2,음식,I211,주점,I21104,요리 주점,I56219,기타 주점업,11,서울특별시,11215,광진구,11215830,자양2동,1121510500,자양동,1121510500106790035,679.0,35.0,서울특별시 광진구 자양동 679-35,112154112469,서울특별시 광진구 자양로5길,서울특별시 광진구 자양로5길 18,,127.08473980398,37.5315666855765,38008590,70.0,261.03000000000003
