Unnamed: 0,상가업소번호,brand,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,지번본번지,지번부번지,지번주소,도로명코드,도로명,도로명주소,층정보,경도,위도,place_id,월간 검색량,블로그누적발행
10307,MA010120220802045593,투다리,투다리장말점,,I2,음식,I211,주점,I21104,요리 주점,I56219,기타 주점업,41,경기도,41192,부천시 원미구,41192530,심곡3동,4119210200,심곡동,4119210200103250034,325.0,34.0,경기도 부천시 원미구 심곡동 325-34,411924352456,경기도 부천시 원미구 장말로294번길,경기도 부천시 원미구 장말로294번길 19-2,1.0,126.77444903674,37.4904401424818,37314636,20.0,96.0
10309,MA010120220802272784,투다리,투다리,태안점,I2,음식,I211,주점,I21104,요리 주점,I56219,기타 주점업,41,경기도,41590,화성시,41590530,병점1동,4159011700,병점동,4159011700103170003,317.0,3.0,경기도 화성시 병점동 317-3,415903210047,경기도 화성시 병점2로,경기도 화성시 병점2로 30,,127.040283485412,37.2060855270033,1055560381,20.0,36.0
10310,MA010120220809776850,투다리,투다리고덕여염점,,I2,음식,I211,주점,I21104,요리 주점,I56219,기타 주점업,41,경기도,41220,평택시,41220660,고덕동,4122012800,고덕동,4122012800120910004,2091.0,4.0,경기도 평택시 고덕동 2091-4,412204856237,경기도 평택시 고덕여염12길,경기도 평택시 고덕여염12길 36,,127.0529216831,37.0428979850877,1566364120,30.0,89.01
10314,MA010120220800453356,투다리,투다리,,I2,음식,I211,주점,I21104,요리 주점,I56219,기타 주점업,41,경기도,41287,고양시 일산서구,41287570,대화동,4128710400,대화동,4128710400121420001,2142.0,1.0,경기도 고양시 일산서구 대화동 2142-1,412873194026,경기도 고양시 일산서구 대산로,경기도 고양시 일산서구 대산로 219,,126.754190683419,37.6783915161741,1817968402,30.0,132.99
10315,MA010120220801932638,투다리,투다리,,I2,음식,I211,주점,I21104,요리 주점,I56219,기타 주점업,41,경기도,41133,성남시 중원구,41133580,상대원2동,4113310500,상대원동,4113310500129990004,2999.0,4.0,경기도 성남시 중원구 상대원동 2999-4,411333179006,경기도 성남시 중원구 금상로,경기도 성남시 중원구 금상로 11,1.0,127.15895045484,37.4373708668518,32284587,20.0,46.0
10317,MA010120220801794829,투다리,투다리,,I2,음식,I211,주점,I21104,요리 주점,I56219,기타 주점업,41,경기도,41287,고양시 일산서구,41287570,대화동,4128710400,대화동,4128710400120270010,2027.0,10.0,경기도 고양시 일산서구 대화동 2027-10,412874382114,경기도 고양시 일산서구 일산로636번길,경기도 고양시 일산서구 일산로636번길 9,,126.758769025697,37.6823202171561,1817968402,30.0,132.99
10318,MA010120220802805138,투다리,투다리,,I2,음식,I211,주점,I21104,요리 주점,I56219,기타 주점업,41,경기도,41463,용인시 기흥구,41463550,서농동,4146311000,서천동,4146311000103660000,366.0,,경기도 용인시 기흥구 서천동 366,414634412203,경기도 용인시 기흥구 예현로35번길,경기도 용인시 기흥구 예현로35번길 2,,127.066642967402,37.243917644724,32193711,20.0,28.0
10319,MA010120220811733103,투다리,투다리고덕풍경채점,,I2,음식,I211,주점,I21104,요리 주점,I56219,기타 주점업,41,경기도,41220,평택시,41220660,고덕동,4122012800,고덕동,4122012800118990002,1899.0,2.0,경기도 평택시 고덕동 1899-2,412202348217,경기도 평택시 고덕국제대로,경기도 평택시 고덕국제대로 179,,127.041417143994,37.0540128129874,1853019392,30.0,89.01
10322,MA010120220808617951,투다리,투다리,,I2,음식,I211,주점,I21104,요리 주점,I56111,한식 일반 음식점업,41,경기도,41360,남양주시,41360253,진접읍,4136025328,진접읍,4136025328110570000,1057.0,,경기도 남양주시 진접읍 금곡리 1057,413604391778,경기도 남양주시 진접읍 해밀예당1로236번길,경기도 남양주시 진접읍 해밀예당1로236번길 10-10,,127.204070882462,37.7199699921559,31483468,20.0,59.0
10326,MA010120220813361149,투다리,투다리,능곡점,I2,음식,I211,주점,I21104,요리 주점,I56219,기타 주점업,41,경기도,41281,고양시 덕양구,41281630,행주동,4128112000,토당동,4128112000108450000,845.0,,경기도 고양시 덕양구 토당동 845,412813192061,경기도 고양시 덕양구 지도로,경기도 고양시 덕양구 지도로 100,,126.824052990731,37.6260883037614,33920096,20.0,16.0
10331,MA010120220800332189,투다리,투다리,,I2,음식,I211,주점,I21104,요리 주점,I56219,기타 주점업,41,경기도,41590,화성시,41590256,우정읍,4159025632,우정읍,4159025632103270010,327.0,10.0,경기도 화성시 우정읍 조암리 327-10,415903210002,경기도 화성시 우정읍 31만세로,경기도 화성시 우정읍 31만세로 1,,126.8144787565,37.0811413877555,1110769125,20.0,19.0
10332,MA010120220811498576,투다리,투다리,용문점,I2,음식,I211,주점,I21104,요리 주점,I56219,기타 주점업,41,경기도,41830,양평군,41830400,용문면,4183040024,용문면,4183040024103220006,322.0,6.0,경기도 양평군 용문면 다문리 322-6,418303217042,경기도 양평군 용문면 용문로,경기도 양평군 용문면 용문로 372-1,,127.59481105835,37.4852838109884,18922911,20.0,24.0
10333,MA010120220808488229,투다리,투다리,,I2,음식,I211,주점,I21104,요리 주점,I56219,기타 주점업,41,경기도,41150,의정부시,41150595,가능동,4115011000,가능동,4115011000106710001,671.0,1.0,경기도 의정부시 가능동 671-1,411503181061,경기도 의정부시 신촌로,경기도 의정부시 신촌로 2,1.0,127.034778240639,37.749981609063,11762992,30.0,66.99000000000001
10338,MA010120220806541677,투다리,투다리정왕1점,,I2,음식,I211,주점,I21104,요리 주점,I56219,기타 주점업,41,경기도,41390,시흥시,41390591,정왕1동,4139013200,정왕동,4139013200116100005,1610.0,5.0,경기도 시흥시 정왕동 1610-5,413904397536,경기도 시흥시 정왕대로233번길,경기도 시흥시 정왕대로233번길 12,,126.740335970113,37.3460002675137,37313789,30.0,119.01
10342,MA010120220806396952,투다리,투다리,,I2,음식,I211,주점,I21104,요리 주점,I56219,기타 주점업,41,경기도,41360,남양주시,41360570,별내동,4136011100,별내동,4136011100110800007,1080.0,7.0,경기도 남양주시 별내동 1080-7,413603197093,경기도 남양주시 별내5로,경기도 남양주시 별내5로 27,1.0,127.115392318089,37.6512644865615,38506418,20.0,82.0
10343,MA010120220802008055,투다리,투다리무궁화점,,I2,음식,I211,주점,I21104,요리 주점,I56219,기타 주점업,41,경기도,41196,부천시 오정구,41196530,원종2동,4119610400,원종동,4119610400101410004,141.0,4.0,경기도 부천시 오정구 원종동 141-4,411964358189,경기도 부천시 오정구 성오로117번길,경기도 부천시 오정구 성오로117번길 14,1.0,126.798997653801,37.5241729817756,11762578,30.0,77.01
10344,MA010120220804798934,투다리,투다리,구래점,I2,음식,I211,주점,I21104,요리 주점,I56219,기타 주점업,41,경기도,41570,김포시,41570570,구래동,4157010900,구래동,4157010900168860004,6886.0,4.0,경기도 김포시 구래동 6886-4,415703352049,경기도 김포시 솔터로,경기도 김포시 솔터로 22,,126.631087200941,37.6453472276826,1293097372,210.0,303.03000000000003
10346,MA010120220803513576,투다리,투다리,,I2,음식,I211,주점,I21104,요리 주점,I56219,기타 주점업,41,경기도,41610,광주시,41610560,광남1동,4161010700,삼동,4161010700102620004,262.0,4.0,경기도 광주시 삼동 262-4,416103211033,경기도 광주시 순암로,경기도 광주시 순암로 491,1.0,127.200946592504,37.4104476363941,1730091393,40.0,158.0
10347,MA010120220802356329,투다리,투다리,,I2,음식,I211,주점,I21104,요리 주점,I56219,기타 주점업,41,경기도,41273,안산시 단원구,41273580,선부1동,4127310900,선부동,4127310900110770003,1077.0,3.0,경기도 안산시 단원구 선부동 1077-3,412733191034,경기도 안산시 단원구 선부광장1로,경기도 안산시 단원구 선부광장1로 108,,126.812574236265,37.3332430398738,33913458,50.0,94.0
10348,MA010120220802360558,투다리,투다리,부곡점,I2,음식,I211,주점,I21104,요리 주점,I56219,기타 주점업,41,경기도,41271,안산시 상록구,41271570,부곡동,4127110700,부곡동,4127110700106860001,686.0,1.0,경기도 안산시 상록구 부곡동 686-1,412714370250,경기도 안산시 상록구 성호로13길,경기도 안산시 상록구 성호로13길 6,,126.85841201775,37.3258642528486,21778557,50.0,121.0
10349,MA010120220803186330,투다리,투다리,기흥점,I2,음식,I211,주점,I21104,요리 주점,I56219,기타 주점업,41,경기도,41463,용인시 기흥구,41463517,영덕2동,4146311100,영덕동,4146311100100140002,14.0,2.0,경기도 용인시 기흥구 영덕동 14-2,414634412090,경기도 용인시 기흥구 덕영대로2077번길,경기도 용인시 기흥구 덕영대로2077번길 16,,127.09660864663,37.2682071304482,1527496076,20.0,40.0
10350,MA010120220814196473,투다리,투다리부천,북부점,I2,음식,I211,주점,I21104,요리 주점,I56219,기타 주점업,41,경기도,41192,부천시 원미구,41192520,심곡2동,4119210200,심곡동,4119210200101640015,164.0,15.0,경기도 부천시 원미구 심곡동 164-15,411924352184,경기도 부천시 원미구 부천로40번길,경기도 부천시 원미구 부천로40번길 10,1.0,126.784113653079,37.4876560692449,1785050533,20.0,96.0
10351,MA010120220811833710,투다리,투다리,오학점,I2,음식,I211,주점,I21104,요리 주점,I56219,기타 주점업,41,경기도,41670,여주시,41670530,오학동,4167012200,현암동,4167012200102060001,206.0,1.0,경기도 여주시 현암동 206-1,416704442480,경기도 여주시 학동1길,경기도 여주시 학동1길 13,1.0,127.641840281489,37.3044578083905,90452370,20.0,7.0
