Unnamed: 0,상가업소번호,brand,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,지번본번지,지번부번지,지번주소,도로명코드,도로명,도로명주소,층정보,경도,위도,place_id,월간 검색량,블로그누적발행
10080,MA0101202406A0080728,역전할머니,역전할머니맥주2지구,화성봉담,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,41,경기도,41590,화성시,41590253,봉담읍,4159025321,봉담읍,4159025321106900001,690.0,1.0,경기도 화성시 봉담읍 상리 690-1,415904430654,경기도 화성시 봉담읍 상리2길,경기도 화성시 봉담읍 상리2길 55,1.0,126.946951290247,37.2250746207814,1347315519,20.0,111.0
10083,MA0101202406A0026631,역전할머니,역전할머니맥주원,천동점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,41,경기도,41117,수원시 영통구,41117550,원천동,4111710200,원천동,4111710200102230000,223.0,,경기도 수원시 영통구 원천동 223,411174331168,경기도 수원시 영통구 중부대로448번길,경기도 수원시 영통구 중부대로448번길 23,1.0,127.063113050204,37.2682747771886,1094108498,30.0,180.99
10084,MA0101202406A0013370,역전할머니,역전할머니맥주수원,탑동점,I2,음식,I211,주점,I21103,생맥주 전문,I56111,한식 일반 음식점업,41,경기도,41113,수원시 권선구,41113560,서둔동,4111313300,탑동,4111313300108350005,835.0,5.0,경기도 수원시 권선구 탑동 835-5,411133175047,경기도 수원시 권선구 하탑로,경기도 수원시 권선구 하탑로 27,,126.9746891574,37.2689646752331,1315467654,60.0,381.0
10085,MA0101202406A0007431,역전할머니,역전할머니맥주기흥,구청점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,41,경기도,41463,용인시 기흥구,41463520,구갈동,4146310200,구갈동,4146310200103540001,354.0,1.0,경기도 용인시 기흥구 구갈동 354-1,414634412043,경기도 용인시 기흥구 구갈로60번길,경기도 용인시 기흥구 구갈로60번길 11-1,,127.112635599645,37.2800146142501,1201225994,20.0,59.0
10087,MA0101202406A0019110,역전할머니,역전할머니맥주안산,한양대점,I2,음식,I211,주점,I21103,생맥주 전문,I56111,한식 일반 음식점업,41,경기도,41271,안산시 상록구,41271537,해양동,4127110300,사동,4127110300115700007,1570.0,7.0,경기도 안산시 상록구 사동 1570-7,412713190074,경기도 안산시 상록구 한양대학로,경기도 안산시 상록구 한양대학로 36,1.0,126.839543251861,37.3011698680846,1429059026,20.0,229.0
10088,MA0101202310A0008642,역전할머니,역전할머니맥주시흥장곡점,,I2,음식,I211,주점,I21103,생맥주 전문,I56194,김밥 및 기타 간이 음식점업,41,경기도,41390,시흥시,41390631,장곡동,4139013000,장곡동,4139013000108200001,820.0,1.0,경기도 시흥시 장곡동 820-1,413904397522,경기도 시흥시 장곡로37번길,경기도 시흥시 장곡로37번길 7,1.0,126.784765392588,37.3785894324243,1529303622,20.0,53.0
10090,MA0101202406A0269491,역전할머니,역전할머니맥주용인강남대점,,I2,음식,I211,주점,I21103,생맥주 전문,I56111,한식 일반 음식점업,41,경기도,41463,용인시 기흥구,41463520,구갈동,4146310200,구갈동,4146310200105960001,596.0,1.0,경기도 용인시 기흥구 구갈동 596-1,414633204003,경기도 용인시 기흥구 강남동로,경기도 용인시 기흥구 강남동로 14,,127.127684366105,37.2705924827912,1275359715,20.0,59.0
10091,MA0101202406A0491408,역전할머니,역전할머니맥주부천,오정점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,41,경기도,41196,부천시 오정구,41196560,오정동,4119610100,오정동,4119610100102070008,207.0,8.0,경기도 부천시 오정구 오정동 207-8,411963000015,경기도 부천시 오정구 오정로,경기도 부천시 오정구 오정로 209-4,1.0,126.783003467925,37.5274513504025,1856141633,20.0,109.0
10092,MA0101202406A0479283,역전할머니,역전할머니맥주김포,운양점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,41,경기도,41570,김포시,41570580,운양동,4157010300,운양동,4157010300112970006,1297.0,6.0,경기도 김포시 운양동 1297-6,415703209174,경기도 김포시 김포한강11로,경기도 김포시 김포한강11로 310,1.0,126.683178317392,37.6553283065572,1326128647,20.0,102.0
10093,MA0101202406A0448401,역전할머니,역전할머니맥주남,위례점,I2,음식,I211,주점,I21103,생맥주 전문,I56111,한식 일반 음식점업,41,경기도,41131,성남시 수정구,41131625,위례동,4113110800,창곡동,4113110800105470010,547.0,10.0,경기도 성남시 수정구 창곡동 547-10,411313000238,경기도 성남시 수정구 위례광장로,경기도 성남시 수정구 위례광장로 21-12,1.0,127.139205374113,37.4652640977318,1329344968,20.0,56.0
